x,y,z
114,92,74
72,85,58
65,52,53
118,63,85
101,104,96
62,120,52
121,65,69
48,113,59
97,106,24
120,109,13
18,11,118
114,115,66
25,94,48
50,100,126
13,64,120
13,9,1
56,111,53
69,70,21
44,117,78
53,35,18
43,8,2
60,52,83
1,101,93
30,7,34
0,24,41
58,109,73
88,123,8
39,112,110
85,56,11
51,21,73
68,79,36
13,88,91
48,101,23
53,73,56
27,82,88
17,95,8
46,43,45
68,35,115
58,45,41
21,53,36
122,77,103
88,32,51
86,94,35
120,27,3
126,30,103
102,94,61
6,62,30
126,55,46
19,123,0
127,114,88
95,9,12
3,39,123
82,86,85
44,94,83
66,8,120
92,119,110
28,104,58
37,110,48
78,26,109
103,59,65
43,67,48
100,127,74
88,116,51
77,39,44
126,96,27
66,117,16
31,28,78
33,62,107
